ref	Address	note
73917:7	napr.OÚ, čp.48, Vělopolí Vělopolí, Frýdek-Místek	uvnitř zděné zast.BUS
73917:9	u čp.201-obchod,Třinec-Guty Guty, Třinec, Frýdek-Místek	stojan na zast.BUS
74207:100	Bordovice 99, rozcestí Bordovice, Nový Jičín	stojan
74207:104	Frenštát pod Rad.,Školská čtvrť 1374,SPŠE Frenštát pod Radhoštěm, Nový Jičín	stojan
74207:106	Frenštát pod Rad., Markova 952 Frenštát pod Radhoštěm, Nový Jičín	stojan
74207:107	Frenštát pod Rad., Horní 931 Frenštát pod Radhoštěm, Nový Jičín	stojan
74207:108	Frenštát pod Rad., Nádražní 898 Frenštát pod Radhoštěm, Nový Jičín	stojan
74207:111	Frenštát pod Rad., Bezručova 1642,ZD Tobolář stoj	Frenštát pod Radhoštěm, Nový Jičín
74207:114	Trojanovice 274 Trojanovice, Nový Jičín	stojan
74207:115	Trojanovice 530 Trojanovice, Nový Jičín	stojan
74207:116	Trojanovice 364 Trojanovice, Nový Jičín	stojan
74207:117	Trojanovice 458 Trojanovice, Nový Jičín	stojan
74207:119	Trojanovice 724 Trojanovice, Nový Jičín	stojan
74207:121	Veřovice 118 Veřovice, Nový Jičín	stojan
74207:125	Lichnov 139, zastávka Kovář Lichnov, Nový Jičín	stojan
74207:13	Nový Jičín,Loučka, Jičínská 181 Loučka, Nový Jičín	stojan
74207:133	Ženklava 194, obchod Ženklava, Nový Jičín	stojan
74207:14	Nový Jičín, Sportovní 1398/8, potraviny Nový Jičín, Nový Jičín	stojan
74207:16	Nový Jičín, Vančurova 702/38 Nový Jičín, Nový Jičín	stojan
74207:18	Nový Jičín, Anenská 727/23 - křižovatka Nový Jičín, Nový Jičín	stojan
74207:204	Kopřivnice, Štramberská 436/73a Kopřivnice, Nový Jičín	stojan
74207:207	Kopřivnice, Na Luhách 616/2b Kopřivnice, Nový Jičín	stojan
74207:21	Nový Jičín, Žilina,Beskydská 66,Plynoservis Žilina, Nový Jičín	stoj
74207:218	Kopřivnice, Mniší 214 Mniší, Kopřivnice, Nový Jičín	stojan
74207:219	Štramberk, Bařiny 747 Štramberk, Nový Jičín	stojan
74207:221	Štramberk, Nádražní 820 Štramberk, Nový Jičín	stojan
74207:222	Štramberk, Závišická 530, Restaurace Dalas stojan	Štramberk, Nový Jičín
74207:23	Nový Jičín, Bludovice 110, čerp. stanice Bludovice, Nový Jičín	stojan
74207:230	Trnávka 103, bus. zastávka Trnávka, Nový Jičín	stojan
74207:231	Kateřinice 127, OÚ Kateřinice, Nový Jičín	stojan
74207:232	Kateřinice 141, prodejna Kateřinice, Nový Jičín	stojan
74207:233	Skotnice 12, u obchodu Skotnice, Nový Jičín	stojan
74207:239	Sedlnice 40, dolní konec, potraviny Sedlnice, Nový Jičín	stojan
